Feature,Coefficient,Std Error,T-Statistic,P-Value,Significant,Conf Int Low,Conf Int High,VIF
BenchmarkMapAddWithAllocs/items_1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006589892844711175,0.0003348415880857663,1.9680628330502483,0.05213887579457161,False,-6.231973747692385e-06,0.0013242105426899274,1000.0
BenchmarkMapHasMiss/items_1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006583272724413709,0.0003431245514684979,1.9186247956430817,0.058201366328011,False,-2.334953825149349e-05,0.0013400040831342353,1000.0
BenchmarkMapAddNoAllocs/items_1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006582016709189803,0.00033800164474929306,1.9473327456947438,0.054612299779883175,False,-1.3297591420439537e-05,0.0013297009332584,1000.0
BenchmarkMarshalGaugeArray-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006551697622045923,0.000356232349917909,1.8391641364282922,0.06918838385563773,False,-5.254797795239334e-05,0.001362887502361578,1000.0
BenchmarkFilterHasMiss/maxItems=1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006543246226421741,0.00028202770042707405,2.3200721831626168,0.02259871331414112,True,9.402737043047698e-05,0.0012146218748538711,1000.0
BenchmarkFilterHasHit/maxItems=100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006536968447484364,0.0003073115658290586,2.127146900523926,0.036143325836462736,True,4.316878085203581e-05,0.0012642249086448369,1000.0
BenchmarkIntersectNoOverlap/items_1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006520421030868398,0.00031913328479732736,2.043165455151234,0.043960388854071844,True,1.802813108882481e-05,0.0012860560750848548,1000.0
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-1000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006479718228159402,0.0003256314469566155,1.9898932639090927,0.04963779037053954,True,1.0481174947027903e-06,0.0012948955281371776,1000.0
BenchmarkMapAddReuse/items_100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006476418887074497,0.00033126055829381195,1.955083007899247,0.0536761641604736,False,-1.0465028794182834e-05,0.0013057488062090822,1000.0
BenchmarkMapHasHit/items_100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006460537367018492,0.0003293831592470307,1.9614048823222379,0.05292268062194265,False,-8.323399910801382e-06,0.0013004308733144997,1000.0
BenchmarkMapAddNoAllocs/items_100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006431084816955972,0.0003398983303884383,1.8920613142190144,0.061697850428465116,False,-3.215887771483084e-05,0.0013183758411060252,1000.0
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-100-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006362871001011181,0.0003449584876965649,1.8445323793882524,0.06839510603066097,False,-4.903314500532131e-05,0.0013216073452075575,1000.0
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-10000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006324184986816685,0.0003238198588440704,1.9529947945107289,0.05392704400477525,False,-1.0906170658133872e-05,0.0012757431680214708,1000.0
BenchmarkMapHasMiss/items_100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006320738796051887,0.0003487538500809975,1.812378213053105,0.07326226073661204,False,-6.078651532314761e-05,0.001324934274533525,1000.0
BenchmarkFilterHasHit/maxItems=1000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006305883229177624,0.000308496911062456,2.04406689436867,0.043869324916341365,True,1.7705363824226518e-05,0.0012434712820112983,1000.0
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-10-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006292886504699492,0.0003110020343131076,2.023422939531,0.045995861007478385,True,1.1428826793018773e-05,0.0012471484741468795,1000.0
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-0-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006272848258377928,0.00032555544703251793,1.9268141005029376,0.05715777372874047,False,-1.9487892369144505e-05,0.0012740575440447302,1000.0
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-1-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006271340315880319,0.0003167878153554499,1.9796658873522641,0.05079649809218909,False,-2.2202559838064607e-06,0.0012564883191598702,1000.0
BenchmarkFilterHasMiss/maxItems=100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.000622100240514406,0.0002753682146117627,2.259157765871763,0.026288363853263184,True,7.503321922616582e-05,0.0011691672618026462,1000.0
BenchmarkDedupAggr/samplesPerPush_10000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006202208607908064,0.0003170197817112491,1.9564105982374365,0.05351718197882799,False,-9.594268434398113e-06,0.0012500359900160108,1000.0
BenchmarkFilterHasHit/maxItems=1000000-2_BenchmarkIntersectFullOverlap/items_10000-2,0.0006185463768428009,0.0003655535401630753,1.692081484334317,0.09409003822306283,False,-0.00010768953466331298,0.0013447822883489147,1000.0
BenchmarkAppendDecimalToFloat/Integers-2_BenchmarkUnionNoOverlap/items_100000-2,0.000610345374193928,0.0003104369578101655,1.9660847680615356,0.05237070550086991,False,-6.391826381057456e-06,0.0012270825747689135,1000.0
BenchmarkMapHasHit/items_1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.000606691897978301,0.00030447753342439455,1.9925670414988104,0.04933860821592486,True,1.7941341077759403e-06,0.001211589661848826,1000.0
BenchmarkMapAddReuse/items_10000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.000606053949902901,0.00033393411682136126,1.8148907804682646,0.07287183023132389,False,-5.736445825849524e-05,0.0012694723580642972,1000.0
BenchmarkInmemoryPart_MustInitFromRows/streams_1/rowsPerStream_1-2_BenchmarkUnionNoOverlap/items_100000-2,0.0005956163679040752,0.0003583029732053479,1.6623260548907588,0.09992662759934387,False,-0.00011621502682145372,0.0013074477626296042,1000.0
